Тип изделия,Номер ТУ,"tпер.макс, °С","tсниж, °С",Примечание,СВЧ Диапазон,Группа изделия,Подгруппа изделия
2Т825А-5,аА0.339.054ТУ,175,25,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Большой мощности
2Т826А – В,аА0.339.058ТУ,150,50,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Большой мощности
2Т826А-5,аА0.339.579ТУ,150,50,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Большой мощности
2Т827А – В,аА0.339.119ТУ,200,25,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Большой мощности
2Т827А-2 – В-2,аА0.339.516ТУ,200,25,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Большой мощности
2Т827А-5,аА0.339.460ТУ,200,25,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Большой мощности
"2Т828А, Б",аА0.339.120ТУ,150,50,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Большой мощности
2Т830А – Г,аА0.339.139ТУ,150,25,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Большой мощности
2Т830Д,аА0.339.139ТУ,125,25,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Большой мощности
2Т830А-5 – Г-5,аА0.339.139ТУ,150,25,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Большой мощности
"2Т830В-1, Г-1",аА0.339.406ТУ,150,25,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Большой мощности
2Т831А – Г,аА0.339.140ТУ,150,25,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Большой мощности
2Т831А-5 – Г-5,аА0.339.140ТУ,150,25,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Большой мощности
"2Т831В-1, Г-1",аА0.339.407ТУ,150,25,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Большой мощности
2Т834А – В,аА0.339.209ТУ,150,25,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Большой мощности
2Т834А-5,аА0.339.209ТУ,150,25,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Большой мощности
"2Т836А, Б, Б1, В",аА0.339.164ТУ,150,25,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Большой мощности
"2Т836А-5, Б1-5",аА0.339.164ТУ,150,25,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Большой мощности
2Т837А – Е,аА0.339.411ТУ,125,25,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Транзисторы биполярные кремниевые,Большой мощности
