,header,describtion,characteristics,section_name,link
35,"AH-50, 50 Вт, 2.2 Ом, 5%, Резистор силовой",,"Тип AH  ​
Номин.сопротивление 2.2  ​
Единица измерения ом  ​
Точность,% 5  ​
Номин.мощность,Вт 50  ​
Макс.рабочее напряжение,В 1300
Рабочая температура,С -55…275
Монтаж на шасси
Длина корпуса L,мм 50
Ширина (диаметр) корпуса W(D),мм 29.5
Вес, г 30
",Резисторы мощные (более 2 Вт),https://www.chipdip.ru/product/ah-50-50w-2.2-om-5
36,"AH-50, 50 Вт, 3.3 Ом, 5%, Резистор силовой",,"Тип AH  ​
Номин.сопротивление 3.3  ​
Единица измерения ом  ​
Точность,% 5  ​
Номин.мощность,Вт 50  ​
Макс.рабочее напряжение,В 1300
Рабочая температура,С -55…275
Монтаж на шасси
Длина корпуса L,мм 50
Ширина (диаметр) корпуса W(D),мм 29.5
Вес, г 30
",Резисторы мощные (более 2 Вт),https://www.chipdip.ru/product/ah-50-50w-3.3-om-5
37,"AH-50, 50 Вт, 4.7 Ом, 5%, Резистор силовой",,"Тип AH  ​
Номин.сопротивление 4.7  ​
Единица измерения ом  ​
Точность,% 5  ​
Номин.мощность,Вт 50  ​
Макс.рабочее напряжение,В 1300
Рабочая температура,С -55…275
Монтаж на шасси
Длина корпуса L,мм 50
Ширина (диаметр) корпуса W(D),мм 29.5
Вес, г 26
",Резисторы мощные (более 2 Вт),https://www.chipdip.ru/product/ah-50-50w-4.7-om-5
38,"AH-50, 50 Вт, 6.8 Ом, 5%, Резистор силовой",,"Тип AH  ​
Номин.сопротивление 6.8  ​
Единица измерения ом  ​
Точность,% 5  ​
Номин.мощность,Вт 50  ​
Макс.рабочее напряжение,В 1300
Рабочая температура,С -55…275
Монтаж на шасси
Длина корпуса L,мм 50
Ширина (диаметр) корпуса W(D),мм 29.5
Вес, г 30
",Резисторы мощные (более 2 Вт),https://www.chipdip.ru/product/ah-50-50w-6.8-om-5
39,"AH-50, 50 Вт, 10 Ом, 5%, Резистор силовой",,"Тип AH  ​
Номин.сопротивление 10  ​
Единица измерения ом  ​
Точность,% 5  ​
Номин.мощность,Вт 50  ​
Макс.рабочее напряжение,В 1300
Рабочая температура,С -55…275
Монтаж на шасси
Длина корпуса L,мм 50
Ширина (диаметр) корпуса W(D),мм 29.5
Вес, г 30
",Резисторы мощные (более 2 Вт),https://www.chipdip.ru/product/ah-50-50w-10-om-5
40,"AH-50, 50 Вт, 12 Ом, 5%, Резистор силовой",,"Тип AH  ​
Номин.сопротивление 12  ​
Единица измерения ом  ​
Точность,% 5  ​
Номин.мощность,Вт 50  ​
Макс.рабочее напряжение,В 1300
Рабочая температура,С -55…275
Монтаж на шасси
Длина корпуса L,мм 50
Ширина (диаметр) корпуса W(D),мм 29.5
Вес, г 30
",Резисторы мощные (более 2 Вт),https://www.chipdip.ru/product/ah-50-50w-12-om-5
41,"AH-50, 50 Вт, 15 Ом, 5%, Резистор силовой",,"Тип AH  ​
Номин.сопротивление 15  ​
Единица измерения ом  ​
Точность,% 5  ​
Номин.мощность,Вт 50  ​
Макс.рабочее напряжение,В 1300
Рабочая температура,С -55…275
Монтаж на шасси
Длина корпуса L,мм 50
Ширина (диаметр) корпуса W(D),мм 29.5
Вес, г 30
",Резисторы мощные (более 2 Вт),https://www.chipdip.ru/product/ah-50-50w-15-om-5
42,"AH-50, 50 Вт, 22 Ом, 5%, Резистор силовой",,"Тип AH  ​
Номин.сопротивление 22  ​
Единица измерения ом  ​
Точность,% 5  ​
Номин.мощность,Вт 50  ​
Макс.рабочее напряжение,В 1300
Рабочая температура,С -55…275
Монтаж на шасси
Длина корпуса L,мм 50
Ширина (диаметр) корпуса W(D),мм 29.5
Вес, г 30
",Резисторы мощные (более 2 Вт),https://www.chipdip.ru/product/ah-50-50w-22-om-5
43,"AH-50, 50 Вт, 47 Ом, 5%, Резистор силовой",,"Тип AH  ​
Номин.сопротивление 47  ​
Единица измерения ом  ​
Точность,% 5  ​
Номин.мощность,Вт 50  ​
Макс.рабочее напряжение,В 1300
Рабочая температура,С -55…275
Монтаж на шасси
Длина корпуса L,мм 50
Ширина (диаметр) корпуса W(D),мм 29.5
Вес, г 30
",Резисторы мощные (более 2 Вт),https://www.chipdip.ru/product/ah-50-50w-47-om-5
44,"AH-50, 50 Вт, 68 Ом, 5%, Резистор силовой",,"Тип AH  ​
Номин.сопротивление 68  ​
Единица измерения ом  ​
Точность,% 5  ​
Номин.мощность,Вт 50  ​
Макс.рабочее напряжение,В 1300
Рабочая температура,С -55…275
Монтаж на шасси
Длина корпуса L,мм 50
Ширина (диаметр) корпуса W(D),мм 29.5
Вес, г 30
",Резисторы мощные (более 2 Вт),https://www.chipdip.ru/product/ah-50-50w-68-om-5
45,,,,Резисторы мощные (более 2 Вт),https://www.chipdip.ru/product/ah-50-50w-100-om-5
46,,,,Резисторы мощные (более 2 Вт),https://www.chipdip.ru/product/ah-50-50w-220-om-5
47,"AH-50, 50 Вт, 1 кОм, 5%, Резистор силовой",,"Тип AH  ​
Номин.сопротивление 1  ​
Единица измерения ком  ​
Точность,% 5  ​
Номин.мощность,Вт 50  ​
Макс.рабочее напряжение,В 1300
Рабочая температура,С -55…275
Монтаж на шасси
Длина корпуса L,мм 50
Ширина (диаметр) корпуса W(D),мм 29.5
Вес, г 26.8
",Резисторы мощные (более 2 Вт),https://www.chipdip.ru/product/ah-50-50w-1-kom-5
48,,,,Резисторы мощные (более 2 Вт),https://www.chipdip.ru/product/ah-50-50w-2.2-kom-5
49,,,,Резисторы мощные (более 2 Вт),https://www.chipdip.ru/product/knp-500-5w-0.1-om-5
50,,,,Резисторы мощные (более 2 Вт),https://www.chipdip.ru/product/sqp-3w-47-om-5
51,,,,Резисторы мощные (более 2 Вт),https://www.chipdip.ru/product/sqp-10w-0.1-om-5
52,"SQP 10 Вт 0.22 Ом, 5%, Резистор проволочный мощный (цементный)","Резисторы серии SQP находят применение в промышленной электронике, в схемах блоков питания и усилителей, при измерениях в качестве испытательной нагрузки, а также в качестве нагревательных элементов (в частности в видеокамерах наружного видеонаблюдения). Резисторы SQP обладают повышенной жаро и огнестойкостью. Являются аналогами ПЭВ, С5-35, С5-37 Основа - особо чистая керамика Al2O3 Резистивный элемент - проводник с высоким удельным сопротивлением или металлооксидный стержень Выводы - луженая медь Литой цементный корпус","Тип sqp  ​
Номин.сопротивление 0.22  ​
Единица измерения ом  ​
Точность,% 5  ​
Номин.мощность,Вт 10  ​
Макс.рабочее напряжение,В 750
Рабочая температура,С -55…155
Монтаж в отв.
Длина корпуса L,мм 48
Ширина (диаметр) корпуса W(D),мм 9.5
Вес, г 10.75
",Резисторы мощные (более 2 Вт),https://www.chipdip.ru/product/sqp-10w-0.22-om-5
53,"SQP 10 Вт 0.33 Ом, 5%, Резистор проволочный мощный (цементный)","Резисторы серии SQP находят применение в промышленной электронике, в схемах блоков питания и усилителей, при измерениях в качестве испытательной нагрузки, а также в качестве нагревательных элементов (в частности в видеокамерах наружного видеонаблюдения). Резисторы SQP обладают повышенной жаро и огнестойкостью. Являются аналогами ПЭВ, С5-35, С5-37 Основа - особо чистая керамика Al2O3 Резистивный элемент - проводник с высоким удельным сопротивлением или металлооксидный стержень Выводы - луженая медь Литой цементный корпус","Тип sqp  ​
Номин.сопротивление 0.33  ​
Единица измерения ом  ​
Точность,% 5  ​
Номин.мощность,Вт 10  ​
Макс.рабочее напряжение,В 750
Рабочая температура,С -55…155
Монтаж в отв.
Длина корпуса L,мм 48
Ширина (диаметр) корпуса W(D),мм 9.5
Вес, г 11
",Резисторы мощные (более 2 Вт),https://www.chipdip.ru/product/sqp-10w-0.33-om-5
54,,,,Резисторы мощные (более 2 Вт),https://www.chipdip.ru/product/sqp-10w-0.47-om-5
55,,,,Резисторы мощные (более 2 Вт),https://www.chipdip.ru/product/sqp-10w-0.68-om-5
56,"SQP 10 Вт 1 Ом, 5%, Резистор проволочный мощный (цементный)","Резисторы серии SQP находят применение в промышленной электронике, в схемах блоков питания и усилителей, при измерениях в качестве испытательной нагрузки, а также в качестве нагревательных элементов (в частности в видеокамерах наружного видеонаблюдения). Резисторы SQP обладают повышенной жаро и огнестойкостью. Являются аналогами ПЭВ, С5-35, С5-37 Основа - особо чистая керамика Al2O3 Резистивный элемент - проводник с высоким удельным сопротивлением или металлооксидный стержень Выводы - луженая медь Литой цементный корпус","Тип sqp  ​
Номин.сопротивление 1  ​
Единица измерения ом  ​
Точность,% 5  ​
Номин.мощность,Вт 10  ​
Макс.рабочее напряжение,В 750
Рабочая температура,С -55…155
Монтаж в отв.
Длина корпуса L,мм 48
Ширина (диаметр) корпуса W(D),мм 9.5
Вес, г 10.1
",Резисторы мощные (более 2 Вт),https://www.chipdip.ru/product/sqp-10w-1-om-5
